question,answer_text,distractor
"According to the passage , the new invention "" face - kini "" is now considered as",high fashion,"'color1', '', 'and artistic'"
What can be inferred from the passage ?,Babies can understand emotions .,"'cell phones can be live', 'monkeys can help us pain', 'dogs do like to do better'"
"As a disabled man , his father","was happy and satisfied , and never lost hope","'said that he was gentleman man', 'was foolish way to drive', 'knew what his son would not ask him'"
Why did Thomas Nast paint Santa Claus into a fat old man ?,Because he had a nice childhood memory of such a man .,"'because he was busy with the old man', 'so busy with the leader', 'the young man was so busy'"
"In order not to miss a game , Russell",arranges his work time carefully,"'he was forbidden by himself', 'his father was foolish', 'the people did like him'"
Why did n't the man thank the author ?,He found it hard to control his strong feelings .,"'he was always angry with his wife', 'his father was sad of the', 'the man was sad'"
The study leads us to believe that,the pets in the UK will be in trouble if their owners keep their way of life,"'the better to work in order', 'we ll have to work without the family', 'people in the past of the world'"
What can bring you a good sleep ?,Joining in activities .,"'working in the ski', 'the summer school', 'observing on the day'"
We can infer from the passage that,We human beings need to love animals because they are our friends .,"'we should have given dreams of our dreams', 'animals are similar to us human beings', 'the anti of humans is the most important thing of our dreams'"
The author mentions the activities in Para.1 mainly to show,Findley Lake is a good place for tourists to travel at any time,"'it is good way to get along with the road', 'the new york is very small', 'an interesting way to save the city'"
"According to the author , which of the following is the right kind of tattoo that girls should get ?","Small , lovely tattoos inked on the hidden part of the body","'the old man takes', 'or or the mouth', 'have adopted the creature'"
Nancy does n't go to school because,she is only five,"'she does want to go the front', 'he plays the piano', 'her mother died takes'"
Why is Morioka Shoten unique ?,It sells various copies of a book in a week .,"'it gives the picture book to get christmas', 'to buy books for the bookstore', 'you must buy books for the books'"
Why are death cases among white collar employees and office workers increasing year by year ?,All of the above,"'because the colour of the planes', 'the colour of the planes', 'they wanted to take the place of the treasure'"
Young British people live in their parents ' home until around 30 because,they ca n't afford a house of their own until then,"'they wanted to make the people in the united states', 'the younger man wanted to do so', 'their parents wanted to do so'"
"According to the scientists , the device thrown overboard would",burn up in space in about three months,"'wake the loss of the shadow', 'the movement hit the loss of the shadow', 'observe flying saucer and make the machine'"
How did the story end ?,The woman taught the two young men a lesson .,"'the writer did to help the young man', 'it the young woman to make telephone', 'one of walt young brother was'"
What started Martha ' s success in business ?,Her catering business .,"'she sold', 'box of', 'her first lunch'"
"According to the author , if a person is found guilty of a crime ,",the criminal himself should bear the blame,"'the boss did know how to make the', 'either was not good enough to make the speaker', 'people are afraid to admit the'"
On her way home the writer,lost her wallet unknowingly,"'bought', 'talked betty', 'she found her son'"
"From the passage , we can learn that",many British people have unhealthy eating habits,"'people do have enough dreams about the french', 'the people who do have enough time', 'dogs are more important than australian people'"
What can we learn from the passage ?,Listening is better than yelling and fighting .,"'is the only factor of the event', 'the of the story', 'you should have good grades'"
WHO has changed its idea mainly because,it believes certain amount of intake of sugar does us good,"'agricultural is the richest mountain', 'it refers the most important of the history history', 'the government of bees pigs'"
Which of the following is NOT the reason that the earth has life ?,The volcanos on earth are lower than those on Mars .,"'the moon happened 65 million years ago', 'it has the moon surface', 'earth hour is moving to the moon'"
"Having heard what had happened , the judge",made a wise decision,"'would ask to ask the king', 'was not thankful', 'said his father would ask him'"
We know from the passage that,His teacher believed in his musical gift .,"'his father was touched by himself', 'the writer was written by himself', 'he liked the song'"
Why do many people like to do sports every day ?,Because they can keep healthy .,"'because these people do like', 'they think to eat more', 'the vegetables can reach away'"
The old man believed that,God sent him $ 100 in cash .,"'he was angry about the money', 'the younger man had no money', 'there are many people who wrote about the money'"
The writer gives us the article to,tell us the difference between love and friendship .,"'tell us how to arrange the people', 'show how to spend the great time', 'explain us the seed of the brothers'"
How did the writer escape    from the bees ?,She jumped into a water pool .,"'she was fed to help the fish', 'her aunt was fed ill', 'the desert fish fish'"
What 's the best title of this passage ?,Everything Happens For The Best,"'how to choose person', 'the of the book', 'what the history of the'"
Which would be the best title for this passage ?,Learning about Sports,"'watching tv', 'reading report', 'learning in english'"
What can we conclude from this passage ?,"Having experienced a lot outside , Jennifer felt home was really warm and safe for her .","'because he believes to make friends who take to the hospital', 'the writer did want to take care of the family', 'so did like to eat'"
Which of the following is TRUE according to the passage ?,A reliable website offers you an advanced secure system .,"'the of professional', 'an advertisement program for the election', 'reader to write letters'"
What is suggested in the passage ?,The capital would have rainstorm on Monday evening .,"'the space trip is the most important way', 'on is the first day', 'in space day'"
Which is the right way to take care of teeth ?    ,Eat lots of fruits and vegetables and drink water instead of soda .,"'you should drink more vegetables and vegetables', 'the drinks drinks and the', 'when the less food and the'"
My boss is Robinson 's,master,"'', 'id teacher', 'table salesman'"
We can infer   from the story that,the Frenchman was at last able to get what he wanted,"'the officer did know how to tell the', 'he was busy applying to cheat the pilot station', 'was too busy to stay the plane station'"
"When a mistake is made in the printing of the stamp , the stamp",increases in value,"'demand for the coin of the coin', 'the of demand of the stays', 'record for the coin of the coin'"
The writer gives a description of Rikke using the Screenfridge in order to,introduce the new product,"'show the popularity of airlines', 'warn people to use the use of pens', 'persuade readers to judge the'"
The chemicals in spices keep food fresh by,killing bacteria in food,"'the food of food', 'water and grass', 'bacteria and grass'"
The broken Skylab will come into view,as 12 bigger pieces and hundreds of smaller pieces,"'the case was found by the case', 'all the museum were made by the case', 'and took edison sweater'"
Why are squirrel monkeys and baboons involved in the experiments ?,Because their brain is similar to human beings .,"'because they are born with certain of artificial', 'they are born with chemical', 'the humans are usually to the environment'"
The passage mainly talks about,hearts and long life,"'the beautiful of the', 'dreams of nature', 'different the dreams of dreams'"
Which would be the best title for the passage ?,Smiles Make a Bus Feel Like Home,"'how to drive the door', 'car drivers', 'do like to drive'"
"After the author handed the meals to the homeless men , she",went back to her husband and son,"'did know how to count the pants', 'thought that he was doing poor', 'went care of the old man'"
We can infer from the passage that,the boss was wise,"'the boy did like to play joke', 'was the first worst', 'recognized was the worst person'"
Drugs need to be tested before being sold mainly because,scientists need to be sure they 're safe for use,"'these robots are trying to make certain of organic materials materials', 'the robots can be used to break down the device', 'plants are essential parts parts materials materials'"
"According to the writer , which of the following is not true ?",When you get off the plane you will find yourself right in the city center,"'the post office is not as important as the', 'it can move the place to the sun', 'you ca get the news office'"
The writer of the passage asks us,not to do things like Greg,"'how to find good future', 'why how to find our future', 'that the bird is too dangerous'"
What can we infer about the dog from the text,It was kept by Rudi 's family .,"'it was the oldest woman king', 'the little elephant was sad', 'its was the oldest woman'"
Why are the researchers puzzled over the results ?,Because the results were completely different from what they had thought .,"'because the group people did like the keys', 'it is difficult to take the place of the plane', 'they are useless to the steps of the law'"
"According to the passage , some Shanghai educators and parents argue that",the reform may accomplish the very opposite,"'the present of the huge', 'their parents do like to do', 'there would be no to the new spot'"
What can be inferred from the passage ?,Most of young people fail to live comfortably ..,"'the homeless die in the world', 'people can enjoy more easily than pigs', 'stars have been killed by the road'"
It can be inferred from the passage that   ,the official learned that what he wanted needed to pay for the same effort .,"'the director did want to write the magazine', 'it is impossible to make the post person who to recommend the bill', 'government did not have the ability to work the program'"
What mainly caused the two passengers to open the emergency exits ?,"When passengers complained , the pilot reportedly insulted them by saying something rude and impolite .","'the passengers passengers wear seat belts', 'to pick the plane plane', 'when to the passengers passing to the passengers stop the plane'"
The best title for this passage should be,A girl acts to clean the world 's water,"'the old lady in the sea', 'desert', 'how research climate'"
What can be inferred from the passage ?,The job is not as relaxing as the advertisement says .,"'the post office is not worth for the package package package', 'it ok the subject information', 'you need choose the post office'"
Why does n't the girl want to go to learn salsa ?,Nobody wants to dance with her .,"'how to teach the music', 'the teacher does want to be', 'he will ask the truth to the old'"
Leadville got its name for the following reasons EXCEPT,because it could bring good fortune to Tabor,"'because he had no chance to sell the richest', 'it wanted to sell the wise people to make', 'the boy would have to pay more attention to the older man'"
What 's the title of the passage ?,A wooden bowl,"'the colour of the bottle', 'big', 'bottle trees'"
What do we know about Ed 's driving ?,He ca n't drive without Helen 's help .,"'he wants to teach his parents how to drive', 'his parents will take care of the', 'the condition condition'"
Boys were often tempted to,throw stones at Mr. Flowers ' glass - house,"'throw the sweater and clean salt', 'put ads and the sweater', 'buy another sweater sweater sweater'"
The passage is mainly about,how to succeed in a new school term,"'how to make the most calcium of the year vacation', 'what to end the holiday', 'why to court the college entrance'"
The main reason why teenagers do n't have enough sleep is that they,use mobile phones too much,"'use mobile phones', 'stop the internet', 'not not use mobile phones'"
"According to the passage , the writer believes that",the concept of teamwork is still alive and no longer the same as the past,"'the more productive time in the beginning', 'it was impossible to make the lead to find dreams', 'all countries should be able to the new of the time'"
All the following are channels to get market information except,to promote the quality of our own products,"'to make the best companies of the world', 'the origin of the food', 'make people feel about the importance of the raw'"
Which of the following is Not True ?   ,The congratulatory letter shows that both China 's strengths and international standing have reached the highest rank around the world .,"'the chinese people are busy with the last', 'it was the last middle to travel travelers to travel the space space', 'all of the countries speak the language'"
Which Guinness World Record the organizers may set ?,The number of moustaches removed in a day .,"'the new of the artificial', 'valentine thanksgiving day', 'people attitudes'"
For which of the four men is the 60 Thompson the best choice ?,Clement loves art and enjoys delicious food and wine .,"'the little of wine', 'tea tea', 'and tea'"
Strange things happen to time when you travel because,the earth is divided into time zones,"'the sea surface is too interesting', 'there are no cars in the desert', 'polar bear channel'"
"If a person usually puts things into categories and sorts when    thinking , he is most probably",a logical learner,"'', 'good teacher', 'type cool'"
"According to Michelle , 17-year - old teenagers",are too young to manage their life,"'could spend more time on their fathers', 'are worried about their dreams dreams', 'was not interested in the same way'"
Which of the following is TRUE ?,We should set a good example for our children .,"'we should have great achievement of our dreams', 'our physical of our friends', 'the latest school is very important'"
What do you think Dr. Mellinkoff wanted to tell his students in this case ?,Doctors should know their patients ' real problems .,"'the doctors should be trained', 'they have mental problems', 'do take action to perform'"
What does a social scientist study ?,Human beings as members of groups .,"'human beings beings', 'how to improve the spread of the world', 'the of human beings'"
What is the main idea of this passage ?,Only stricter traffic laws can prevent accidents .,"'thousands who are willing to build the use of the law', 'it can help drivers to use driving cars', 'the super of cars require of transportation accidents'"
Which sentence shows the writer 's opinion ?,E - waste problem is very serious and people should take actions .,"'people should have to cut down their own', 'the laws of people should be raised', 'we must try to stop the pilot'"
Why was the author astonished when he saw that there was a man in the call box ? Because   ,he did n't expect it to be taken up,"'he did know how to sell the', 'the old barber did know how to do so', 'his son did know how to do so'"
The reason why experts suggested not taking the company directly to court is that,all of the above,"'the owner of the car', 'another belts are more expensive than other people', 'it has the same of the artificial'"
Which of the following is TRUE according to the passage ?,"Ryan Lochte quit eating junk food , candy and soda for his recovery .","'bill gates to europe with the north', 'the first bottle in the north', 'mrs often to eat meat at home'"
Those who like drinking coffee often have accidents because,the deserted coffee cups may make the brake fail,"'the chocolate is expensive expensive', 'they do like eating', 'people like to eat the food'"
We can guess from the story that,Jack made a mistake,"'jack was clever', 'the writer did like jack', 'tom did like jack'"
The author lists 13 values in his booklet to,help international visitors understand Americans,"'help readers to find the importance of canada', 'tell people about the importance of canada', 'show people how to get rid'"
The comparison made between the memory capacity of a large computer and that of a human being shows that,the computer 's memory 's capacity is much smaller even than a teenager 's,"'the internet has been replaced by computers', 'it provides the software software', 'technology digital has been replaced textbooks'"
What can the writer learn from her experience ?,The old need care from others .,"'the child should go to school', 'it is good way to make the child', 'she did like the best way'"
What can we know from the story ?,The third woman does n't know she has the same problem as ( ........ ) the other two women .,"'the girl would come to the front of the plane', 'it is the only single single of the women in the world', 'one should be shown by the boy'"
Why is the story of two friends told in the passage ?,To support the author 's own argument on competition .,"'to show how to celebrate the legal of the first', 'the popularity of the book', 'felt relaxed about the terrible of the'"
"From the passage , we can know that","an "" Alive and Well "" call is very important for worrying parents","'the king does like brothers to be good', 'one can be remembered in the moment', 'children must learn to learn about the stress of the blind'"
The reason why the elephant stayed calm and still was that,it concentrated    on what it was doing,"'it was missing', 'the shirt was too dirty', 'he could get the key'"
The best title for the passage would be,Sharks : Humans ' Friends,"'the pet', 'how humans', 'dog head'"
Who is the passage written for ?,Parents,"'children', 'junior', 'students children'"
"From the passage , we can learn that",there may be disagreements between roommates,"'the final would begin hard', 'it is the largest urban in the world', 'people in the beginning are wearing me'"
What is the passage mainly about ?,The guide for the Fresher 's Week .,"'the relationship between the day', 'how to choose the internet', 'thanksgiving dinner'"
"From this passage , we know acid rain","is bad for people , animals , plants and buildings","'it is good for people to keep crops', 'is much beautiful in the world desert', 'the tree in the world depends'"
What is PTA Day ?,A day for parents to meet their children 's teachers at school .,"'the school public school day evening', 'celebrating parents day their vacation holidays', 'teaching students day their vacation holidays'"
"In Germany , teleshopping may",help businessmen get more money,"'help people earn money for the program', 'pay some attention to the producer', 'make more money for the bill'"
What is the main topic of the text ?,The effect of climate change on migrating animals .,"'the causes of the disease', 'how the causes of the disease', 'what kind of bees can be used'"
What is new about this year 's Museum Day ?,People will get free tickets online .,"'people can enjoy the movie', 'the people ride on the internet', 'it has selling books'"
"To be successful in our training programme , we must understand the difference between",the training contents and training in using,"'holding sharing training', 'the training training', 'sharing training training'"
What is the best title for this passage ?,The Pillow,"'the', 'how the mysterious', ''"
The elevators at Seven World Trade Center are special because they can,send people to floors with fewer stops,"'help people earn more money', 'make the place to the', 'try the old man with the ground'"
The gem cutter did n't buy the stone because,he doubted whether it was genuine,"'he was buried by the king', 'the grandmother did like the king', 'it liked the king'"
The roommate laughed all the way home because,the writer was embarrassed when he could n't pay his check,"'the assistant did want to tell the visitor', 'he did want to get the farmer', 'his son did want him to tell him'"
Why does Mrs Black give Jimmy a knife ?,Because she does n't like the noise .,"'because she wants to help the old man', 'she does like the beautiful', 'the boy likes her'"
What is the main idea of the passage ?,Lopez has done many things in her career .,"'how to develop his own own', 'what to do something', 'the of the book'"
Why does the author write the passage ?,"To call on students to apply to be Campus Coordinators ,","'to tell readers how to educate the students in the classroom', 'that the students should go to school', 'on to help readers to find the teacher'"
The Postcrossing project,receives more public approval compared with sending mail .,"'advises people to take part with the details', 'has replaced technologies on the world', 'through 600 of the books'"
Which of the following is TRUE ?,The robot fish can go back to the beach by themselves .,"'the whale can fly away the whale', 'seals are sent the whale', 'it was the first islands to fly the whale'"
Foster 's opinion on teenagers ' getting up late is that,it 's based on their body development,"'it is good for the working to learn', 'the worse of the extreme of the world', 'its child has the most joy of the women'"
What is Mr. Zhang ?,He is an English teacher .,"'he thinks to use the internet', 'mr is playing with his mother', 'it was named teacher teacher'"
Which of the following is not true ?,Johnson 's dictionary is the first English Dictionary .,"'the english words the english language', 'it was seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven', 'is controlled the largest language spoken the english'"
Which of the following is,People do not analyze the problem they meet .,"'the people who lived in the earthquake', 'people who do know how to do', 'what the people lived in the earthquake'"
The people except the author 's grandpa in the church,thought the director had made a mistake,"'the writer did know how to do so', 'was the first woman who liked the', 'knew mona was sad'"
Miss Advice holds that,men with a baby feel more grown - up,"'women are more than men', 'husbands do want to lose weight', 'men can not go to school'"
"According to Canaves , this race can help the students",understand designing better,"'do like to use computers', 'have to use the technology', 'prefer more easily'"
The best title for this passage is,Franklin 's Experiment with Lightning,"'an reader', 'the first of the black', 'space research'"
Which of the following can be the best title of the passage ?,Do it Today .,"'how to deal with the', 'do like to be seals', 'is good reader'"
We can learn from the text that,reading made the author not worry about his sight,"'the author did want to tell the letter', 'was the first person to understand the content', 'continued that the author was touched bit'"
Why should people eat orange food according to the text ?,It is good for eyesight .,"'it is the largest most effective', 'because these colours colours', 'the food is good'"
Which of these mistakes students make choosing food is not mentioned in the reading ?,Eating too much chocolate .,"'the top wine', 'taking your friends', 'how much sugar'"
Who are most likely to become depressed ?,Young girls who always hide their feelings and opinions .,"'young women who are unhappy about their mothers', 'boys whose women are unhappy with their mothers', 'women think it was strict to share young people'"
Which of the following statements is true according to the passage ?,Sugar was left to a neighbor because the Woods knew she did n't like riding in cars for days .,"'the garden was specially in the kitchen', 'neighbors in the kitchen was the man man', 'bill gates was specially for his wife'"
What 's the best title of the passage ?,Lily 's New School,"'new school', 'school', 'how to study school'"
"Pollution comes in many ways . We can even hear it . Here "" it "" means .",noise pollution,"'the sea', 'water', 'dirty pollution'"
"When writing about qualifications , applicants are advised to",provide a detailed description of their study and work experiences,"'explain how to survive in time jobs', 'give up the beginning of time jobs', 'tell how to write their books'"
"Although it costs less to live in a town ,",life is more worth living in the country,"'the local government', 'people living in the valley', 'it has the largest population in the world'"
The U.N. World Food program aims to,show concerns over food insecurity in the developing world,"'introduce the country food', 'help people learn how to use the french food', 'attract food for the french food'"
The purpose of the article is to,tell us there are a lot of fake news on the Internet,"'warn people not to use cell phones', 'tell readers how to write the news', 'check people to spend more money on the internet'"
Which is the reason for her leaving school for the second time ?,Girls were not equally treated in their village .,"'the younger children were concerned to the younger ones', 'women could not have to work outside', 'boys wanted to join the first head'"
What do we know about the two cheetah cubs ?,Their lives were in danger in the wild .,"'the homeless people ate up', 'they gave the terrible king', 'their stories focused in the games'"
Which of the following is NOT true according to the passage ?,China has got the team gold medal twice in Winter Olympics history .,"'the olympic games athletes reached in 2008', 'china will win the football game in the olympic', 'li will win the nobel prize'"
The author thinks that his father should allow him to,stay at home alone,"'visit the sick room', 'expect the old to visit the', 'go the old home'"
What is the immediate cause for people to have more time to enjoy life ?,The reduction in working time .,"'the physical of the adult', 'their physical of the physical', 'working people'"
Alison Lo concludes that,a teenager can be raised to be a talent,"'women should not be good at the first job', 'children who want to forget to the deaf', 'the teacher does not be good enough to be'"
The author wrote the text in order to,report a new research of coffee,"'show the popularity of april', 'encourage us to adopt organic food', 'persuade readers to take the musical'"
Which of the following is not included among the benefits of laughing ?,It can cure the illness of people .,"'it helps people to get more about the process', 'the process of the brain influences', 'people should have mental'"
Which statement is NOT true according to the passage ?,The students can read the text page by page with e - schoolbags only .,"'the students can use the students to get the exam', 'students will use the exam', 'there can use the students to throw the exam'"
What is the best title for the passage ?,Power of Tears,"'the importance of body', 'sound', 'different the steps of the brain'"
The main purpose of this text is to,inform people a kind of energy - saving cars,"'warn people to take more measures to save the waste of plastic', 'tell readers how to use the use of plastic electricity', 'introduce people to take the use of plastic plastic'"
The purpose of the passage is,to share her experience of improving her English,"'to collect the film to collect the homeless', 'how the difference between her mother', 'finding chance to teach the deaf'"
The finding of the research mainly shows,the spread of happiness can lead to a healthier society,"'the influence of the body lifestyle', 'what the effects of fat is fat', 'where is the best way to make the most calcium of the disease'"
Charles Dickens was removed from school because,he had to make money to support the family,"'he was enjoying and the king', 'the king would come to find job', 'his son did know to make money'"
"According to the spokesman for Premier Inn , it 's hard to relax if we",keep thinking hard,"'get away with the shoes', 'find out to avoid the', 'go the best things'"
Which is NOT mentioned by Psychologist Serena Cauchy ?,Sincerely talk about friends ' shortcomings .,"'think about the book', 'who are eager to do', 'short friends'"
Jason went down the cliff because,Alexis did n't believe in herself,"'was the pilot to go the farmer', 'wanted the young man to cheer him', 'the king would go to the'"
Einstein realized his mistake in,signing the letter to Roosevelt,"'the first visit to the', 'on john', 'in his bedroom'"
Which of the following would be the best title for the passage ?,China - Cambodia friendship to continue,"'how to develop technology technology', 'the economic status of china urban', 'china daily'"
What can we learn from the text ?,Disabled people can also take up a job volunteering overseas .,"'children should have access to their children', 'people should have access to take part in the morning', 'the children will have more money to take their children'"
What 's the best title for the passage ?,Why are some people left - handed ?,"'how to develop our body', 'what people do to practise', 'the rats can be raised'"
One has a poor memory mainly because,his memory is not often used,"'he does like to make pictures', 'his mind is very important', 'the child blood'"
It is important for people to eat,something from each of the seven kinds of food every day,"'the diet wine wine', 'how much salt and take the medicine', 'we have processed and vegetables'"
Which of the follow sentences is Not True ?,There are many red - crowned cranes in the world .,"'the extreme of the colors was the most popular', 'alexander was very familiar', 'all all the people in the world are the same'"
"According to Gary Becker , what causes people feel anxious about time ?",The increasing value of work time .,"'the increase of the brain', 'working children to take their way', 'their daily life'"
The best title for the passage can be,Chinese College Students Rush to US Schools,"'chinese students in china', 'students in the us', 'the government supports students to study in singapore'"
What is mainly talked about in the text ?,Creative sites for family to hang out .,"'predators and locked', 'the best way to make new job', 'taking reading books'"
Which can be the best title for the passage ?,Gardening Experiences,"'', 'self', 'new teachers'"
What is this passage mainly about ? ( ),Progress in fighting snakebite deaths .,"'the increase of taxes', 'how people how to save', 'an earthquake hit'"
The worst that can happen when habitats are destroyed is that plants and animals,become extinct,"'animals are born', 'the tigers nest', 'and'"
What is the most important holiday for the young people ?,Valentine 's Day .,"'the day', 'mr king', 'day christmas eve'"
"At Mr. Rosa 's childhood , Thanksgiving was not a big holiday for the following reasons EXCEPT",during the 1930 's no one could afford expensive dinners,"'the clerk did work there', 'people would pay for the meal', 'he would buy the meal'"
What can you infer from the story ?,People on the farm were honest and helpful .,"'the homeless people did want to eat', 'people did like teddy', 'all people who lived in the town'"
It can be learned from the passage that China 's Wolong Nature Reserve   ,is facing the same threat as many other parts of the world,"'is the biggest national of the world', 'the olympic among of the world', 'it helps people to explore with the olympic'"
Statistical analysis in this passage is conducted by,counting how frequently a word is used in the language,"'how to use the language words', 'the advantages of the words', 'where that is closely connected'"
What will be included in the exam ?,only essay questions .,"'reading', 'it included short notes', 'the book'"
Why does the author suggest traveling through the shoulder seasons ?,To have better value of traveling .,"'to show how to get the game', 'not not have been disturbed', 'it told the harm to find out the eiffel'"
Which of the following is WRONG according to the passage ?,You can have a memorable vacation in a car .,"'you can buy shoes instead of the hotel', 'the post office is opened the hotel', 'is tall'"
Which of the following is NOT a factor in making goat meat more popular ?,Raising goats is challenging .,"'depends creative depends', 'the less food', 'people have more cells'"
Which of the following statements is True of Kevin Stephan ?,He worked part - time in a local restaurant to save money for college .,"'he was buried the geography of the geography of the university', 'his students do have to work as the head', 'the people in the us refuse to study for his spare money'"
Where are the fish ?,There are n't any fish .,"'the whale bit cold', 'all fish in the desert', 'there were too cold'"
Why did the businessman agree to give more money if he lost ?,He thought he knew more than the farmer .,"'he wanted to make the beggar man', 'the farmer was too busy', 'his mother asked him to do so'"
"What is the "" strange "" point mentioned in the first sentence ?",The good life is a greater risk than the bad life .,"'the fact that the universe is good', 'it brings to make friends to make friends', 'ai is the key cause of the child'"
Which statement is true ?,The policeman who received the man was not patient with him .,"'the old man caught angry in the post', 'person person who must make the test', 'one of the young man believed'"
"According to the passage , David",studied very hard .,"'taught english words', 'was made up by the author', 'did have been touched'"
The agents make sure that,fake friends must look happy and be well dressed,"'employees should brush the dog', 'the old man takes home', 'dress are useful to kids the best'"
"According to the passage , scientists studied rats in order to find",what laughter in rats produces,"'how to use the medicine', 'what the structure of of dreams', 'whether people can change the weather'"
It can be inferred from the passage that,people are more easily influenced by those around them,"'people have been killed by hunters hunters', 'the government officials to stop using the government of the plane', 'most of people do like to be treated'"
"You can probably eat Chinese , Italian , and Arabian food at .",Central Park on Saturday,"'the zoo kong', 'at the nelson', 'in st'"
We can learn from the passage that brown fat,becomes less in amount with age,"'is the only popular popular popular tree', 'has grown than milk than milk', 'does you have to work with her'"
"After his gap year , Dr. Sinar",became more considerate in his job,"'he was interested in working jobs', 'was still interested in writing jobs', 'running for her son'"
This article is about,how to prepare for a job interview .,"'how to arrange the most important of the hotel', 'why how to arrange the hotel', 'what we should have the vacation'"
You can go to Night Safari to,watch animals,"'visit www', 'feed', 'take to the zoo'"
Why did Steven Jobs go to India ?,Because he wanted to get some new ideas .,"'because he wanted to make the bill for the food', 'he hoped to make the richer support of the company', 'they had no voice of the food'"
What can be the best title for the passage ?,How Much Screen Time Is Too Much for Children,"'how to develop our study', 'what the importance of teens', 'our child is popular'"
Which of the following is TRUE ?,All efforts made by the man from the country are in vain .,"'the movement of the black', 'artificial and miners people in the world war', 'it took the last black miners and took part'"
Which of the following statements is NOT true according to the passage ?,Attention should be paid to saving food instead of producing food,"'the quality of food is the only way to make the richest in the market', 'agricultural has been made the richest nutrition in the future', 'we have the richest of the richest'"
What can we learn from the passage ?,People should make right decisions when in trouble .,"'people should have patience to the road', 'the person sitting in the wrong', 'it unnecessary to build the pain of the road'"
Which of the following is TRUE according to the text ?,The author had no money to pay the garage keeper for the repair .,"'the post office is very good way to make the post office', 'he did want to get the key in the magazine', 'all who did want to use the package'"
What is the article mainly about ?,People 's obsession with taking pictures and its influence .,"'people who have cellphones of criminal', 'how people how to read', 'the details of the people who have been'"
Which of the following is True according to the story ?,What the daughter did these days worried her mother .,"'the girl was eager to know how to sell her mother', 'how the father was worried to be', 'hilary aunt was very strict with her mother'"
"According to the passage , the name "" Mo Yan ""","might remind him "" not to speak his mind "" in public places","'believed that he could sell the bill to the visitor', 'he knows to attend the meeting party to the police', 'if want to attend the party to the visitor'"
Who rowed Maggie to land safely ?,Old Dan 's sons .,"'editor himself', 'jack father', 'dick father'"
The researchers did the study mainly by means of,collecting receipts from stores,"'the of the food', 'managing and', 'finding the of the food'"
"According to the passage , Professor Storey thinks it helpful for children",to drink more milk,"'to eat less food juice juice juice', 'not not eat less sugar juice juice', 'have more natural sugar'"
"According to the passage , the following lifestyle is good for our health EXCEPT",sleeping for more than twelve hours,"'the less calcium you do finish', 'having halloween', 'wearing and women'"
It is clear that,the man got tens of thousands of dollars,"'the old man was in the police', 'everyone the post office', 'he uses the old man'"
Which of the following is true according to the text ?,Hooke 's book Micrographia may have helped Newton .,"'the books of the book', 'speech the stays', 'books'"
We can learn from the text that,it is important to have a good teacherstudent relationship,"'it is the most important book to celebrate', 'is good way to earn the money', 'the complex of the book is very important'"
What can we learn about Susie 's first piano lesson ?,She did not play the piano .,"'she was too rude to be', 'her teachers were practiced', 'he did want to teach math'"
"In the near future , all housework will be done",with little or no human effort,"'the old man takes them', 'one should be raised by the old', 'try away from the wrong'"
You can notice your mistakes by,saying things out aloud,"'do like to read', 'did know how to use the phone', 'ask to know what to do'"
"According to the passage , blue is rarely used in food packaging because",it matches very few foods,"'it contains', 'the less food food', 'there re the french food'"
The author picked up the telephone for the first time to,find someone to give him sympathy,"'ask the boss to help him', 'tell how to make his friend', 'explain his mother was ill'"
What 's the best title of the passage ?,An Argument Over Salt and Health .,"'effects effects of environmental', 'how people with cancer', 'the importance of food'"
What is Environment California ?,An environmental organization .,"'places in the world', 'mental problems', 'building of rural'"
What is the text mainly about ?,It describes changed behavior when observed .,"'it is the best subject subject', 'the origin of the joy', 'how long person is good'"
"From the passage , we know",not all the dinosaurs fed on meat,"'the rats could go away the medicine', 'not have the dog to the shark', 'why to catch the dog'"
Was the farmer the biggest fool ?,"No , he was n't .","'was the first minister minister', 'knew the king would buy him', 'the writer did want to go to'"
Which of the following is TRUE ?,The plane stayed at the airport for five hours before taking off again .,"'the sun was actually sign', 'it was wrong to stay to the space station', 'both many people took the passengers'"
What do we know about Jack London ?,He killed himself because of poor health .,"'he was afraid about the homeless', 'his parents died in texas francisco', 'the people who hated about the homeless'"
"From the passage , we may learn",the father and daughter loved each other so much,"'the brothers must to the brothers to the lady', 'all who must spend the meal', 'one the brothers to make the brothers to the lady'"
Who is the Ecoworld Discovery Centre mainly designed for ?,Children and their parents .,"'the homeless children', 'children and children', 'youth people'"
How long does the Georgian Hotel exist ?,It has a history of more than 160 years .,"'it lies in the largest railway', 'the five lies in the world is larger', 'because lies 500 of the world greatest'"
Which of the following is true according to the passage ?,Taking the new train is safer than driving home from Urumqi to Lanzhou .,"'the airline has been made by the police officer', 'it costs the amount of carbon dioxide', 'cars will be holding by the american boxes'"
The dictionary explains,all the words in a simple way,"'the same way to read', 'words and spelling words', 'grammar grammar'"
"According to the passage , which of the following is TRUE ?",Shopkeepers can sell alcohol to teens above 18 .,"'it is the only way to keep the movement of the police', 'the early of the school is popular', 'students may use the hi to make up the bags'"
"By reading weather maps , students majoring in geography can",obtain data on atmospheric conditions over a wide area,"'help the students to enter in the exam', 'the speed of the movement', 'each each key in the usa'"
